date,state,district,mandi,crop,variety,grade,min_price,max_price,modal_price,arrivals_tonnes,temperature_c,rainfall_mm,humidity_pct,demand_score,msp,month,day_of_week
2021-01-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1848.4,1993.78,1917.63,,15.7,0.0,39.5,95.9,1975,1,Sunday
2021-01-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1823.05,1997.32,1906.04,56.6,17.3,0.0,46.5,94.9,1975,1,Monday
2021-01-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1823.32,1980.57,1898.2,60.9,17.7,0.0,38.0,92.1,1975,1,Tuesday
2021-01-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,,,1915.21,68.6,13.6,0.0,38.7,101.0,1975,1,Wednesday
2021-01-21,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1875.31,2009.37,1939.15,56.0,14.3,0.0,37.5,103.7,1975,1,Thursday
2021-01-22,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1871.52,1974.88,1920.74,63.3,19.8,0.0,35.1,93.0,1975,1,Friday
2021-01-23,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1892.41,2000.2,1943.74,53.2,16.1,0.0,38.8,99.3,1975,1,Saturday
2021-01-24,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1851.29,1971.71,1908.63,,15.3,0.0,37.7,91.9,1975,1,Sunday
2021-01-25,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1821.33,1990.59,1901.93,59.0,19.4,0.0,34.2,98.9,1975,1,Monday
2021-01-26,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1828.56,1939.48,1881.38,60.9,16.4,0.0,37.3,85.6,1975,1,Tuesday
2021-01-27,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1816.82,1949.6,1880.05,76.3,17.8,0.0,38.0,91.5,1975,1,Wednesday
2021-01-28,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1821.85,1954.49,1885.01,104.8,18.5,0.0,35.9,94.8,1975,1,Thursday
2021-01-29,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1843.72,1968.1,1902.95,95.2,17.5,0.0,31.4,94.7,1975,1,Friday
2021-01-30,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1853.62,1969.48,1908.79,77.3,14.3,0.0,33.6,93.5,1975,1,Saturday
2021-01-31,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1818.7,1984.75,1897.77,,19.1,0.0,32.7,92.1,1975,1,Sunday
2021-02-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1813.11,1954.28,1880.33,57.7,19.1,0.0,33.0,95.1,1975,2,Monday
2021-02-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1790.12,1944.28,1863.53,44.2,19.6,4.9,36.0,94.5,1975,2,Tuesday
2021-02-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1831.59,1992.47,1908.2,92.9,20.8,0.0,30.5,98.3,1975,2,Wednesday
2021-02-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1880.79,2008.89,1941.79,127.9,18.6,0.0,28.9,101.7,1975,2,Thursday
2021-02-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1873.14,2001.34,1934.19,88.6,19.7,0.0,26.3,99.5,1975,2,Friday
2021-02-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1850.59,1977.05,1910.81,85.4,17.6,0.0,37.9,86.3,1975,2,Saturday
2021-02-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1848.79,1985.29,1913.79,18.8,20.9,0.0,33.1,92.8,1975,2,Sunday
2021-02-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1852.01,2001.7,1923.29,136.8,19.1,0.0,29.0,90.5,1975,2,Monday
2021-02-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1831.26,2005.31,1914.14,122.8,21.6,0.0,29.9,98.9,1975,2,Tuesday
2021-02-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1819.96,1983.72,1897.94,141.4,18.8,0.0,32.1,90.5,1975,2,Wednesday
2021-02-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1832.59,1989.59,1907.35,111.2,20.9,0.0,32.3,90.2,1975,2,Thursday
2021-02-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1823.01,1969.53,1892.78,147.3,24.5,0.0,29.4,87.9,1975,2,Friday
2021-02-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1832.72,1989.03,1907.15,130.7,19.7,0.0,30.6,86.4,1975,2,Saturday
2021-02-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1821.13,2000.32,1906.46,32.1,18.0,0.0,35.6,89.9,1975,2,Sunday
2021-02-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1842.01,1955.71,1896.15,104.4,23.7,0.0,25.8,86.2,1975,2,Monday
2021-02-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1836.88,1938.38,1885.21,91.6,23.1,0.0,35.4,91.0,1975,2,Tuesday
2021-02-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1796.25,1965.95,1877.06,96.8,21.1,0.0,34.7,82.8,1975,2,Wednesday
2021-02-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1819.2,1939.74,1876.6,166.9,22.1,0.0,29.8,83.9,1975,2,Thursday
2021-02-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1783.86,1935.77,1856.2,97.1,22.4,0.0,29.5,83.3,1975,2,Friday
2021-02-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1789.11,1935.27,1858.71,178.9,20.8,0.0,28.9,91.3,1975,2,Saturday
2021-02-21,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1778.22,1939.04,1854.8,46.1,22.6,0.0,32.0,75.2,1975,2,Sunday
2021-02-22,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1775.2,1942.51,1854.87,194.8,23.2,0.0,32.3,91.5,1975,2,Monday
2021-02-23,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1798.28,1896.56,1845.08,101.3,25.2,0.7,27.7,84.3,1975,2,Tuesday
2021-02-24,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1767.15,1919.13,1839.52,194.8,25.0,0.0,35.3,87.4,1975,2,Wednesday
2021-02-25,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1790.47,1900.65,1842.94,152.6,24.9,0.0,34.3,91.3,1975,2,Thursday
2021-02-26,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1790.45,1888.73,1837.25,97.5,26.4,0.0,35.4,88.8,1975,2,Friday
2021-02-27,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1776.07,1901.33,1835.72,168.1,24.4,0.0,31.2,89.5,1975,2,Saturday
2021-02-28,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1753.37,1914.71,1830.2,69.8,25.5,0.0,35.5,80.7,1975,2,Sunday
2021-03-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1767.29,1899.53,1830.26,195.6,26.6,0.0,17.3,79.9,1975,3,Monday
2021-03-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1779.95,1891.8,1833.21,224.3,24.9,0.0,20.0,93.7,1975,3,Tuesday
2021-03-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1753.57,1894.39,1820.63,166.2,27.0,0.0,24.8,76.9,1975,3,Wednesday
2021-03-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1755.94,1901.52,1825.26,269.9,24.6,0.0,20.7,78.8,1975,3,Thursday
2021-03-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1755.83,1905.79,1827.24,206.3,25.1,0.0,23.7,84.6,1975,3,Friday
2021-03-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1774.5,1882.88,1826.11,195.8,26.9,0.0,20.2,76.2,1975,3,Saturday
2021-03-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1760.58,1892.46,1823.38,27.5,27.6,9.4,23.7,72.1,1975,3,Sunday
2021-03-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1768.58,1883.15,1823.14,319.0,27.8,0.0,14.4,79.7,1975,3,Monday
2021-03-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1766.27,1869.82,1815.58,195.7,24.0,0.0,28.4,77.3,1975,3,Tuesday
2021-03-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1746.04,1882.8,1811.16,225.0,24.4,0.0,23.6,73.9,1975,3,Wednesday
2021-03-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1754.5,1867.96,1808.53,257.2,24.8,0.0,25.6,72.3,1975,3,Thursday
2021-03-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1754.91,1880.32,1814.63,241.0,27.9,0.0,23.8,83.2,1975,3,Friday
2021-03-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1754.3,1868.14,1808.51,221.0,27.6,0.0,22.6,74.4,1975,3,Saturday
2021-03-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1734.5,1892.82,1809.89,81.8,25.2,0.0,22.1,80.9,1975,3,Sunday
2021-03-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1725.39,1886.79,1802.25,336.7,27.5,0.0,19.8,75.2,1975,3,Monday
2021-03-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1741.93,1888.85,1811.89,239.5,29.7,0.0,23.8,84.2,1975,3,Tuesday
2021-03-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1750.28,1850.32,1797.92,162.4,27.2,0.0,24.8,71.8,1975,3,Wednesday
2021-03-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1760.95,1861.71,1808.93,353.8,27.6,0.0,27.6,83.3,1975,3,Thursday
2021-03-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1749.03,1868.35,1805.85,310.1,28.7,0.0,25.1,82.4,1975,3,Friday
2021-03-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1742.61,1868.46,1802.54,215.5,31.3,0.0,21.9,76.9,1975,3,Saturday
2021-03-21,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1730.53,1880.83,1802.1,94.1,29.7,0.0,20.6,74.9,1975,3,Sunday
2021-03-22,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1731.29,1878.75,1801.51,427.1,30.5,0.0,23.9,77.4,1975,3,Monday
2021-03-23,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1725.45,1893.28,1805.37,277.3,29.8,0.0,23.3,68.8,1975,3,Tuesday
2021-03-24,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1738.92,1885.94,1808.93,283.9,30.8,0.0,22.7,76.6,1975,3,Wednesday
2021-03-25,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1730.22,1885.73,1804.27,268.9,33.6,0.0,23.4,73.5,1975,3,Thursday
2021-03-26,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1742.51,1872.76,1804.53,321.9,31.3,0.0,22.8,77.8,1975,3,Friday
2021-03-27,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1735.6,1880.85,1804.77,163.8,33.3,0.0,25.7,71.5,1975,3,Saturday
2021-03-28,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1745.14,1867.91,1803.6,,32.9,0.0,23.0,68.6,1975,3,Sunday
2021-03-29,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1760.79,1866.0,1810.89,240.4,31.4,0.0,20.5,76.0,1975,3,Monday
2021-03-30,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1747.23,1881.53,1811.18,298.9,32.9,0.0,22.2,76.4,1975,3,Tuesday
2021-03-31,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1761.78,1866.4,1811.6,369.2,34.8,0.0,20.4,72.9,1975,3,Wednesday
2021-04-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1739.3,1881.64,1807.08,339.4,34.3,0.0,19.2,71.9,1975,4,Thursday
2021-04-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1755.6,1880.28,1814.97,378.3,33.4,0.0,16.9,78.7,1975,4,Friday
2021-04-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1757.03,1888.55,1819.66,311.3,33.6,0.0,17.4,82.3,1975,4,Saturday
2021-04-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1760.37,1855.73,1805.78,,32.2,0.0,17.8,66.1,1975,4,Sunday
2021-04-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1743.55,1875.64,1806.45,261.3,34.9,0.0,12.3,72.3,1975,4,Monday
2021-04-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1724.97,1881.98,1799.74,189.1,34.1,0.0,17.7,70.3,1975,4,Tuesday
2021-04-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1728.29,1883.86,1802.37,249.4,33.6,0.0,14.8,69.9,1975,4,Wednesday
2021-04-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1734.32,1875.35,1801.48,260.3,34.7,0.0,17.7,73.1,1975,4,Thursday
2021-04-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1722.88,1887.06,1801.06,277.1,33.7,0.0,10.4,71.3,1975,4,Friday
2021-04-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1729.88,1887.92,1805.14,243.0,34.9,0.0,12.9,80.8,1975,4,Saturday
2021-04-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1733.66,1886.73,1806.55,94.9,34.7,0.0,16.5,75.0,1975,4,Sunday
2021-04-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1752.37,1884.5,1815.29,309.5,34.6,0.0,12.6,81.7,1975,4,Monday
2021-04-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,,,1810.74,316.3,36.0,0.0,18.9,74.1,1975,4,Tuesday
2021-04-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1742.04,1891.3,1813.12,323.8,38.7,0.0,20.8,81.3,1975,4,Wednesday
2021-04-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1762.74,1871.5,1814.53,282.9,36.2,0.0,23.3,78.4,1975,4,Thursday
2021-04-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1773.08,1873.63,1820.96,333.6,35.1,0.0,16.9,75.2,1975,4,Friday
2021-04-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1776.01,1880.3,1825.67,242.5,39.1,8.1,17.5,88.0,1975,4,Saturday
2021-04-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,,,1833.19,74.6,38.3,0.0,20.2,88.8,1975,4,Sunday
2021-04-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1776.74,1877.31,1824.63,202.8,40.5,0.0,17.7,83.8,1975,4,Monday
2021-04-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1777.83,1882.45,1827.65,202.9,36.5,0.0,15.5,85.1,1975,4,Tuesday
2021-04-21,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1767.36,1895.92,1828.58,290.5,35.7,0.0,19.1,86.1,1975,4,Wednesday
2021-04-22,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1775.68,1891.96,1831.05,196.4,39.8,0.0,17.8,83.0,1975,4,Thursday
2021-04-23,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1776.27,1884.59,1827.85,272.3,40.3,0.0,16.3,74.3,1975,4,Friday
2021-04-24,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1751.37,1915.65,1829.6,243.6,38.4,0.0,11.0,79.7,1975,4,Saturday
2021-04-25,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1756.19,1912.76,1830.75,,37.0,0.0,14.3,82.7,1975,4,Sunday
2021-04-26,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1755.03,1906.28,1827.05,245.9,37.8,0.0,13.1,73.1,1975,4,Monday
2021-04-27,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1770.55,1904.8,1834.48,206.7,38.9,0.0,18.0,86.4,1975,4,Tuesday
2021-04-28,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1758.02,1921.53,1835.88,156.2,38.0,0.0,14.0,81.4,1975,4,Wednesday
2021-04-29,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1773.97,1899.91,1833.94,203.2,39.4,0.0,17.1,82.0,1975,4,Thursday
2021-04-30,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1780.5,1895.9,1835.45,144.0,38.4,0.0,17.8,84.8,1975,4,Friday
2021-05-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1788.11,1886.85,1835.13,156.1,39.2,0.0,17.9,86.4,1975,5,Saturday
2021-05-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1774.24,1891.27,1829.97,,37.9,0.0,16.0,80.3,1975,5,Sunday
2021-05-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1759.96,1922.39,1837.31,194.0,38.9,0.0,14.2,84.0,1975,5,Monday
2021-05-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1803.92,1904.78,1851.95,108.1,40.4,14.7,20.9,90.9,1975,5,Tuesday
2021-05-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1791.08,1905.78,1845.7,198.2,39.6,0.0,16.4,84.4,1975,5,Wednesday
2021-05-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1792.98,1927.95,1857.25,171.4,37.2,0.0,12.8,90.5,1975,5,Thursday
2021-05-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1808.42,1914.32,1858.85,123.4,40.0,0.0,17.8,90.6,1975,5,Friday
2021-05-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1805.21,1932.51,1865.83,105.2,38.7,0.0,10.3,82.3,1975,5,Saturday
2021-05-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1832.94,1943.32,1885.5,23.3,38.0,0.0,14.8,84.0,1975,5,Sunday
2021-05-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1834.42,1984.66,1905.96,115.1,40.6,0.0,18.5,93.1,1975,5,Monday
2021-05-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1856.53,1959.56,1905.59,137.9,38.6,0.0,16.8,101.3,1975,5,Tuesday
2021-05-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1851.62,2010.8,1927.42,90.7,38.0,0.0,13.8,101.8,1975,5,Wednesday
2021-05-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1833.36,1995.48,1910.56,94.8,37.5,0.0,13.8,90.8,1975,5,Thursday
2021-05-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1874.28,1982.04,1925.59,132.6,40.9,0.0,15.0,89.1,1975,5,Friday
2021-05-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1876.95,2058.43,1963.37,141.8,41.4,0.0,14.1,86.3,1975,5,Saturday
2021-05-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,,,1971.03,26.5,36.6,0.0,17.0,84.1,1975,5,Sunday
2021-05-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1902.87,2045.48,1970.78,99.8,40.7,0.0,14.9,89.7,1975,5,Monday
2021-05-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1927.8,2046.12,1984.14,64.9,40.2,0.0,17.4,91.4,1975,5,Tuesday
2021-05-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1929.0,2038.16,1980.98,88.6,40.7,0.0,16.1,87.9,1975,5,Wednesday
2021-05-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1928.12,2053.7,1987.92,122.7,39.3,0.0,15.5,93.5,1975,5,Thursday
2021-05-21,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1942.8,2075.88,2006.17,97.7,39.0,0.0,13.4,101.0,1975,5,Friday
2021-05-22,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1957.48,2091.56,2021.33,109.0,36.9,0.0,18.1,98.7,1975,5,Saturday
2021-05-23,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1913.91,2089.35,1997.45,89.8,36.5,0.0,22.6,91.1,1975,5,Sunday
2021-05-24,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1917.24,2079.43,1994.47,109.3,40.0,0.0,21.3,86.7,1975,5,Monday
2021-05-25,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1923.78,2088.99,2002.45,83.3,38.9,0.0,11.3,100.9,1975,5,Tuesday
2021-05-26,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1928.25,2044.46,1983.59,69.7,38.5,0.0,14.3,86.4,1975,5,Wednesday
2021-05-27,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1913.94,2101.03,2003.03,79.9,39.3,0.0,15.1,90.8,1975,5,Thursday
2021-05-28,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1943.66,2058.87,1998.52,108.7,37.1,0.0,18.7,90.8,1975,5,Friday
2021-05-29,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1921.6,2060.5,1987.74,65.9,38.2,0.0,14.7,94.8,1975,5,Saturday
2021-05-30,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1921.27,2081.16,1997.41,72.5,38.8,0.0,12.8,94.7,1975,5,Sunday
2021-05-31,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1907.02,2051.94,1976.03,59.4,38.5,0.0,15.7,97.1,1975,5,Monday
2021-06-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1880.82,2062.62,1967.39,69.1,38.4,0.0,37.4,87.5,1975,6,Tuesday
2021-06-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1883.81,2061.7,1968.52,55.1,37.1,0.0,39.1,93.8,1975,6,Wednesday
2021-06-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1900.4,2077.45,1984.71,80.0,37.6,0.0,44.1,97.6,1975,6,Thursday
2021-06-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1939.77,2055.19,1994.73,62.0,39.5,0.0,38.4,97.1,1975,6,Friday
2021-06-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1917.93,2099.98,2004.62,41.1,34.7,0.0,44.6,91.2,1975,6,Saturday
2021-06-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1957.41,2068.08,2010.11,15.8,42.9,0.0,42.3,99.5,1975,6,Sunday
2021-06-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1951.46,2084.22,2014.68,66.1,35.6,0.0,42.0,103.9,1975,6,Monday
2021-06-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1934.39,2068.64,1998.32,68.0,38.9,0.0,38.0,89.9,1975,6,Tuesday
2021-06-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1966.86,2084.12,2022.7,41.9,36.2,0.0,41.1,100.4,1975,6,Wednesday
2021-06-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1961.53,2117.58,2035.84,37.2,38.5,0.0,42.5,102.9,1975,6,Thursday
2021-06-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1936.26,2104.45,2016.35,46.2,38.3,0.0,40.8,94.9,1975,6,Friday
2021-06-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1944.76,2132.31,2034.07,82.2,36.6,0.0,41.7,103.4,1975,6,Saturday
2021-06-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1945.66,2113.93,2025.79,22.4,37.8,0.0,44.9,96.7,1975,6,Sunday
2021-06-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1936.42,2102.59,2015.55,55.8,34.5,5.9,47.1,94.6,1975,6,Monday
2021-06-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1984.93,2092.8,2036.3,43.7,35.6,13.6,43.0,99.5,1975,6,Tuesday
2021-06-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1962.54,2086.92,2021.77,45.8,34.0,3.2,40.7,97.5,1975,6,Wednesday
2021-06-17,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1942.66,2124.73,2029.36,55.8,36.7,0.0,41.4,99.6,1975,6,Thursday
2021-06-18,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1958.07,2130.04,2039.96,31.5,35.0,0.0,42.4,102.7,1975,6,Friday
2021-06-19,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1940.89,2128.59,2030.27,42.6,35.3,0.0,34.9,102.8,1975,6,Saturday
2021-06-20,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1951.46,2065.82,2005.92,16.8,37.0,0.0,39.4,95.6,1975,6,Sunday
