demand_id,buyer_id,buyer_type,buyer_name,commodity,required_quantity_quintal,required_quality,max_moisture_percent,offered_price_rs_per_quintal,payment_terms,delivery_location,requirement_window_days,verification_status,data_status
D0024,B0016,FPO,Alwar FPO Buyer 41,Bajra,25,FAQ,9.2,2790,T+7 days,Alwar,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0025,B0153,Processor,Jodhpur Processor Buyer 9,Wheat,75,FAQ,10.2,2280,30% advance + balance on delivery,Jodhpur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0026,B0081,Wholesale,Sri Ganganagar Wholesale Buyer 34,Mustard,1000,FAQ,7.0,6530,T+3 days,Sri Ganganagar,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0027,B0081,Wholesale,Ajmer Wholesale Buyer 10,Garlic,150,Medium,68.4,9680,30% advance + balance on delivery,Ajmer,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0028,B0063,FPO,Jodhpur FPO Buyer 48,Maize,200,Grade A,11.5,1980,30% advance + balance on delivery,Jodhpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0029,B0035,Retail Chain,Bhilwara Retail Chain Buyer 34,Wheat,150,FAQ,11.7,2330,Payment after quality acceptance,Bhilwara,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0030,B0053,Wholesale,Bharatpur Wholesale Buyer 34,Gram,2000,Grade A,7.8,5670,Immediate UPI/RTGS,Bharatpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0031,B0068,Processor,Jaipur Processor Buyer 21,Gram,75,Grade A,8.7,6430,T+7 days,Jaipur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0032,B0140,Exporter,Kota Exporter Buyer 5,Mustard,2000,Bold Seed,6.7,5580,T+1 day,Kota,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0033,B0054,FPO,Bharatpur FPO Buyer 32,Wheat,25,FAQ,10.1,2650,30% advance + balance on delivery,Bharatpur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0034,B0106,Exporter,Hanumangarh Exporter Buyer 4,Bajra,75,FAQ,11.2,2320,T+3 days,Hanumangarh,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0035,B0098,Processor,Bharatpur Processor Buyer 5,Maize,2000,Grade A,11.7,2030,T+7 days,Bharatpur,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0036,B0085,Processor,Alwar Processor Buyer 36,Maize,100,FAQ,13.9,2410,T+3 days,Alwar,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0037,B0149,Processor,Jaipur Processor Buyer 34,Onion,150,Small,72.3,1650,T+7 days,Jaipur,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0038,B0148,Exporter,Udaipur Exporter Buyer 25,Garlic,50,Large,67.1,8940,T+7 days,Udaipur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0039,B0085,Processor,Sri Ganganagar Processor Buyer 80,Onion,1500,Medium,74.0,3550,Immediate UPI/RTGS,Sri Ganganagar,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0040,B0142,Institutional,Bhilwara Institutional Buyer 17,Gram,300,FAQ,8.3,5550,T+7 days,Bhilwara,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0041,B0074,Wholesale,Sri Ganganagar Wholesale Buyer 27,Gram,25,Grade A,9.4,5570,30% advance + balance on delivery,Sri Ganganagar,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0042,B0122,Institutional,Bikaner Institutional Buyer 22,Tomato,100,A,87.9,3410,Payment after quality acceptance,Bikaner,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0043,B0058,Exporter,Nagaur Exporter Buyer 26,Mustard,100,FAQ,5.1,5990,T+1 day,Nagaur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0044,B0184,Retail Chain,Sri Ganganagar Retail Chain Buyer 50,Tomato,1000,B,88.2,1790,T+1 day,Sri Ganganagar,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0045,B0119,Institutional,Barmer Institutional Buyer 7,Mustard,75,FAQ,7.8,6520,Immediate UPI/RTGS,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0046,B0082,Wholesale,Bhilwara Wholesale Buyer 57,Tomato,750,B,89.5,3840,30% advance + balance on delivery,Bhilwara,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0047,B0071,FPO,Bikaner FPO Buyer 67,Tomato,100,B,88.9,4060,T+3 days,Bikaner,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0048,B0021,FPO,Alwar FPO Buyer 18,Gram,200,FAQ,7.7,6180,Payment after quality acceptance,Alwar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0049,B0107,Institutional,Sri Ganganagar Institutional Buyer 8,Mustard,750,FAQ,7.5,6390,T+7 days,Sri Ganganagar,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0050,B0193,Processor,Bikaner Processor Buyer 50,Garlic,200,Large,68.6,8050,Payment after quality acceptance,Bikaner,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0051,B0100,FPO,Alwar FPO Buyer 44,Tomato,500,B,89.2,940,T+7 days,Alwar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0052,B0165,Wholesale,Udaipur Wholesale Buyer 55,Garlic,25,Medium,69.6,5850,T+1 day,Udaipur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0053,B0195,Processor,Sikar Processor Buyer 49,Garlic,200,Large,69.3,8450,T+7 days,Sikar,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0054,B0058,Wholesale,Jaipur Wholesale Buyer 9,Tomato,25,A,89.3,2590,T+1 day,Jaipur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0055,B0145,Processor,Alwar Processor Buyer 28,Bajra,1500,Clean,11.1,2240,T+3 days,Alwar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0056,B0148,Processor,Bharatpur Processor Buyer 49,Bajra,25,Clean,11.8,2490,T+1 day,Bharatpur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0057,B0207,Retail Chain,Chittorgarh Retail Chain Buyer 16,Mustard,1500,FAQ,6.0,6730,T+7 days,Chittorgarh,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0058,B0211,Wholesale,Jodhpur Wholesale Buyer 63,Mustard,25,FAQ,6.3,6270,T+3 days,Jodhpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0059,B0158,Processor,Sri Ganganagar Processor Buyer 69,Bajra,750,Clean,10.4,2440,Payment after quality acceptance,Sri Ganganagar,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0060,B0116,Processor,Nagaur Processor Buyer 32,Onion,50,Medium,73.7,1910,Payment after quality acceptance,Nagaur,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0061,B0055,Retail Chain,Bikaner Retail Chain Buyer 46,Wheat,75,Grade A,10.0,2820,30% advance + balance on delivery,Bikaner,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0062,B0185,Exporter,Jodhpur Exporter Buyer 53,Wheat,50,Grade A,10.7,2500,T+1 day,Jodhpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0063,B0057,Retail Chain,Bikaner Retail Chain Buyer 52,Tomato,50,A,87.9,2300,30% advance + balance on delivery,Bikaner,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0064,B0091,Exporter,Sri Ganganagar Exporter Buyer 59,Onion,750,Medium,72.9,2040,T+1 day,Sri Ganganagar,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0065,B0050,Wholesale,Kota Wholesale Buyer 28,Onion,2000,Large,73.5,1670,Payment after quality acceptance,Kota,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0066,B0046,Processor,Nagaur Processor Buyer 39,Mustard,100,FAQ,7.1,6120,T+1 day,Nagaur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0067,B0027,FPO,Jodhpur FPO Buyer 2,Wheat,75,Grade A,10.4,2820,T+7 days,Jodhpur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0068,B0211,Exporter,Bharatpur Exporter Buyer 9,Wheat,500,Grade A,10.5,2340,30% advance + balance on delivery,Bharatpur,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0069,B0064,Retail Chain,Ajmer Retail Chain Buyer 16,Bajra,150,Clean,10.8,2200,30% advance + balance on delivery,Ajmer,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0070,B0079,Institutional,Hanumangarh Institutional Buyer 73,Tomato,1000,A,88.8,2990,Payment after quality acceptance,Hanumangarh,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0071,B0045,Wholesale,Bharatpur Wholesale Buyer 71,Maize,75,FAQ,11.5,2200,T+7 days,Bharatpur,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0072,B0180,Processor,Jaipur Processor Buyer 59,Gram,2000,FAQ,9.1,5520,T+3 days,Jaipur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0073,B0069,Wholesale,Kota Wholesale Buyer 19,Garlic,1500,Medium,67.2,6520,T+3 days,Kota,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0074,B0070,Institutional,Kota Institutional Buyer 65,Tomato,150,B,88.3,2860,30% advance + balance on delivery,Kota,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0075,B0173,FPO,Udaipur FPO Buyer 74,Onion,50,Large,74.9,1780,Payment after quality acceptance,Udaipur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0076,B0167,Wholesale,Barmer Wholesale Buyer 57,Wheat,500,Grade A,9.5,2860,30% advance + balance on delivery,Barmer,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0077,B0172,FPO,Bikaner FPO Buyer 14,Mustard,200,FAQ,6.0,6020,Payment after quality acceptance,Bikaner,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0078,B0023,Wholesale,Nagaur Wholesale Buyer 41,Garlic,25,Large,68.0,9650,T+7 days,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0079,B0160,Processor,Sri Ganganagar Processor Buyer 64,Tomato,750,B,89.3,2650,T+1 day,Sri Ganganagar,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0080,B0008,Retail Chain,Bikaner Retail Chain Buyer 78,Gram,500,FAQ,9.1,5110,T+3 days,Bikaner,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0081,B0031,Processor,Kota Processor Buyer 20,Garlic,50,Large,69.8,9720,T+3 days,Kota,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0082,B0117,Institutional,Nagaur Institutional Buyer 71,Garlic,500,Medium,68.2,7490,30% advance + balance on delivery,Nagaur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0083,B0202,Retail Chain,Bharatpur Retail Chain Buyer 65,Mustard,300,Bold Seed,7.5,6070,T+3 days,Bharatpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0084,B0089,Processor,Nagaur Processor Buyer 43,Tomato,750,B,88.4,3270,T+3 days,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0085,B0082,FPO,Udaipur FPO Buyer 61,Maize,300,Grade A,12.2,1950,Payment after quality acceptance,Udaipur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0086,B0026,Processor,Jaipur Processor Buyer 57,Tomato,1000,A,88.6,2490,T+7 days,Jaipur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0087,B0121,Wholesale,Nagaur Wholesale Buyer 34,Garlic,75,Large,68.9,5760,T+7 days,Nagaur,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0088,B0082,Wholesale,Nagaur Wholesale Buyer 63,Onion,750,Large,72.1,2170,Immediate UPI/RTGS,Nagaur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0089,B0114,Processor,Chittorgarh Processor Buyer 22,Maize,50,Grade A,13.7,2020,Immediate UPI/RTGS,Chittorgarh,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0090,B0136,FPO,Sikar FPO Buyer 53,Gram,75,FAQ,7.5,5420,Immediate UPI/RTGS,Sikar,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0091,B0119,Exporter,Bikaner Exporter Buyer 33,Maize,75,Grade A,11.8,2190,Immediate UPI/RTGS,Bikaner,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0092,B0089,Wholesale,Bhilwara Wholesale Buyer 76,Gram,50,Grade A,8.9,5930,T+7 days,Bhilwara,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0093,B0028,FPO,Nagaur FPO Buyer 31,Tomato,300,B,88.7,3270,30% advance + balance on delivery,Nagaur,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0094,B0145,Wholesale,Nagaur Wholesale Buyer 7,Wheat,150,Grade A,11.5,2210,T+3 days,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0095,B0174,Wholesale,Alwar Wholesale Buyer 18,Onion,1000,Large,72.3,1840,Payment after quality acceptance,Alwar,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0096,B0188,Institutional,Barmer Institutional Buyer 17,Gram,1000,FAQ,9.7,5730,T+3 days,Barmer,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0097,B0136,Processor,Alwar Processor Buyer 65,Bajra,750,Clean,11.5,2560,T+3 days,Alwar,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0098,B0020,Retail Chain,Chittorgarh Retail Chain Buyer 19,Gram,50,FAQ,9.6,5990,Payment after quality acceptance,Chittorgarh,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0099,B0138,Retail Chain,Kota Retail Chain Buyer 16,Onion,25,Medium,73.1,1870,Payment after quality acceptance,Kota,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0100,B0173,Wholesale,Nagaur Wholesale Buyer 30,Garlic,200,Large,67.1,6100,30% advance + balance on delivery,Nagaur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0101,B0167,Retail Chain,Bhilwara Retail Chain Buyer 53,Mustard,2000,FAQ,5.4,5970,Immediate UPI/RTGS,Bhilwara,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0102,B0100,Processor,Kota Processor Buyer 59,Mustard,750,Bold Seed,7.0,5540,Payment after quality acceptance,Kota,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0103,B0158,Institutional,Hanumangarh Institutional Buyer 53,Bajra,50,Clean,9.1,2720,T+3 days,Hanumangarh,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0104,B0140,Retail Chain,Alwar Retail Chain Buyer 46,Tomato,50,A,88.2,2680,T+1 day,Alwar,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0105,B0006,Processor,Bhilwara Processor Buyer 7,Mustard,1500,Bold Seed,5.7,6720,T+1 day,Bhilwara,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0106,B0056,Wholesale,Nagaur Wholesale Buyer 30,Mustard,100,Bold Seed,7.3,6700,30% advance + balance on delivery,Nagaur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0107,B0170,Wholesale,Ajmer Wholesale Buyer 4,Bajra,75,FAQ,9.0,2240,T+1 day,Ajmer,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0108,B0135,FPO,Ajmer FPO Buyer 15,Wheat,75,FAQ,10.4,2730,T+3 days,Ajmer,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0109,B0187,Processor,Jodhpur Processor Buyer 67,Tomato,1000,B,88.4,1020,Immediate UPI/RTGS,Jodhpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0110,B0114,Wholesale,Sri Ganganagar Wholesale Buyer 10,Garlic,500,Medium,68.0,12290,T+1 day,Sri Ganganagar,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0111,B0098,Wholesale,Udaipur Wholesale Buyer 77,Gram,750,Grade A,8.4,5630,30% advance + balance on delivery,Udaipur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0112,B0111,Wholesale,Nagaur Wholesale Buyer 58,Mustard,750,FAQ,6.2,5750,T+7 days,Nagaur,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0113,B0096,Institutional,Sikar Institutional Buyer 20,Mustard,1500,Bold Seed,5.2,5850,Immediate UPI/RTGS,Sikar,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0114,B0016,Wholesale,Chittorgarh Wholesale Buyer 76,Mustard,75,Bold Seed,7.0,6620,T+7 days,Chittorgarh,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0115,B0148,Wholesale,Bharatpur Wholesale Buyer 65,Wheat,200,FAQ,9.5,2330,T+7 days,Bharatpur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0116,B0072,Wholesale,Nagaur Wholesale Buyer 74,Onion,50,Small,74.4,3150,30% advance + balance on delivery,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0117,B0087,Processor,Jaipur Processor Buyer 45,Gram,2000,FAQ,7.5,5590,T+1 day,Jaipur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0118,B0192,Wholesale,Ajmer Wholesale Buyer 68,Mustard,25,FAQ,6.1,5430,T+7 days,Ajmer,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0119,B0022,Wholesale,Bharatpur Wholesale Buyer 7,Onion,1000,Small,72.5,2720,30% advance + balance on delivery,Bharatpur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0120,B0114,Wholesale,Bikaner Wholesale Buyer 54,Gram,500,Grade A,7.6,6350,30% advance + balance on delivery,Bikaner,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0121,B0125,FPO,Kota FPO Buyer 68,Garlic,1500,Export,67.9,11070,T+1 day,Kota,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0122,B0196,FPO,Alwar FPO Buyer 33,Wheat,100,Grade A,10.0,2370,Immediate UPI/RTGS,Alwar,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0123,B0129,FPO,Ajmer FPO Buyer 72,Bajra,2000,Clean,9.2,2390,Payment after quality acceptance,Ajmer,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0124,B0147,Exporter,Bikaner Exporter Buyer 52,Wheat,200,Grade A,9.9,2740,T+7 days,Bikaner,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0125,B0023,Exporter,Barmer Exporter Buyer 56,Bajra,500,FAQ,9.7,2560,30% advance + balance on delivery,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0126,B0086,FPO,Nagaur FPO Buyer 22,Garlic,200,Medium,68.5,7260,Immediate UPI/RTGS,Nagaur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0127,B0038,Wholesale,Sikar Wholesale Buyer 31,Onion,1500,Small,72.4,3280,T+1 day,Sikar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0128,B0119,Exporter,Ajmer Exporter Buyer 73,Mustard,1500,Bold Seed,7.0,6460,30% advance + balance on delivery,Ajmer,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0129,B0162,Institutional,Ajmer Institutional Buyer 39,Onion,500,Medium,73.8,2330,T+3 days,Ajmer,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0130,B0213,Institutional,Bikaner Institutional Buyer 37,Gram,25,FAQ,8.9,5740,Immediate UPI/RTGS,Bikaner,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0131,B0116,Wholesale,Udaipur Wholesale Buyer 74,Tomato,2000,A,88.0,1010,T+7 days,Udaipur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0132,B0130,Processor,Bikaner Processor Buyer 23,Wheat,200,FAQ,9.7,2300,T+7 days,Bikaner,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0133,B0199,Exporter,Sikar Exporter Buyer 44,Onion,300,Large,73.8,2240,Payment after quality acceptance,Sikar,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0134,B0073,Processor,Sikar Processor Buyer 33,Mustard,1500,FAQ,6.0,6180,30% advance + balance on delivery,Sikar,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0135,B0101,Exporter,Bharatpur Exporter Buyer 17,Onion,2000,Large,74.1,2890,Immediate UPI/RTGS,Bharatpur,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0136,B0190,Processor,Nagaur Processor Buyer 68,Onion,2000,Small,73.9,3320,T+7 days,Nagaur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0137,B0197,FPO,Sikar FPO Buyer 63,Wheat,100,FAQ,9.7,2630,T+1 day,Sikar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0138,B0214,Retail Chain,Nagaur Retail Chain Buyer 68,Gram,750,FAQ,9.0,6180,30% advance + balance on delivery,Nagaur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
