warehouse_id,commodity,storage_charge_rs_per_mt_per_month,handling_charge_rs_per_mt,insurance_optional_rs_per_mt_month,effective_year,data_status
W054,Bajra,135,21,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W054,Tomato,56,33,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W054,Gram,102,49,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W055,Maize,137,80,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W055,Bajra,71,39,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W055,Onion,103,65,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W056,Bajra,190,46,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W056,Tomato,158,37,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W056,Mustard,155,38,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W057,Tomato,117,42,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W057,Bajra,101,42,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W057,Wheat,121,48,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W058,Bajra,208,29,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W058,Wheat,163,64,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W058,Gram,198,61,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W059,Maize,119,55,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W059,Bajra,66,52,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W059,Onion,88,33,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W060,Gram,121,62,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W060,Wheat,78,50,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W060,Garlic,114,57,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W061,Onion,139,57,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W061,Gram,96,64,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W061,Maize,135,42,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W062,Bajra,97,41,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W062,Maize,67,31,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W062,Garlic,94,30,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W063,Bajra,222,71,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W063,Garlic,226,57,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W063,Wheat,221,66,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W064,Tomato,87,66,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W064,Garlic,131,41,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W064,Mustard,106,39,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W065,Maize,137,46,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W065,Garlic,178,56,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W065,Gram,117,30,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W066,Bajra,122,32,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W066,Tomato,72,28,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W066,Gram,61,25,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W067,Bajra,113,45,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W067,Garlic,113,20,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W067,Tomato,80,76,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W068,Gram,78,35,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W068,Bajra,110,25,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W068,Wheat,74,63,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W069,Onion,75,42,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W069,Wheat,115,55,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W069,Maize,82,78,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W070,Garlic,86,68,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W070,Tomato,104,28,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W070,Maize,72,45,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W071,Gram,109,58,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W071,Garlic,123,24,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W071,Onion,117,62,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W072,Wheat,77,69,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W072,Mustard,102,43,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W072,Gram,119,72,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W073,Garlic,84,28,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W073,Wheat,79,22,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W073,Onion,93,47,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W074,Onion,78,47,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W074,Maize,91,39,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W074,Tomato,116,22,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W075,Garlic,211,63,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W075,Mustard,137,49,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W075,Tomato,198,63,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W076,Garlic,151,40,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W076,Tomato,239,44,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W076,Wheat,112,51,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W077,Garlic,93,47,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W077,Maize,136,27,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W077,Wheat,112,52,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W078,Tomato,203,27,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W078,Onion,218,54,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W078,Bajra,130,29,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W079,Onion,88,32,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W079,Tomato,133,66,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W079,Gram,110,23,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W080,Gram,235,49,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W080,Wheat,122,76,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W080,Garlic,204,36,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W081,Onion,116,54,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W081,Tomato,155,38,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W081,Bajra,216,21,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W082,Onion,59,58,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W082,Bajra,100,66,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W082,Tomato,123,67,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W083,Maize,123,26,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W083,Mustard,73,60,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W083,Wheat,110,77,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W084,Onion,134,35,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W084,Maize,127,49,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W084,Tomato,64,40,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W085,Wheat,136,71,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W085,Mustard,103,52,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W085,Gram,98,79,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W086,Gram,57,31,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W086,Maize,138,67,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W086,Garlic,110,27,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W087,Gram,172,64,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W087,Bajra,205,56,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W087,Tomato,165,68,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W088,Gram,78,37,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W088,Onion,140,22,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W088,Garlic,106,78,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W089,Gram,107,33,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W089,Bajra,108,62,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W089,Wheat,90,37,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W090,Onion,83,21,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W090,Wheat,83,24,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W090,Mustard,91,66,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W091,Tomato,136,58,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W091,Gram,124,44,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W091,Maize,126,20,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W092,Onion,223,29,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W092,Bajra,237,33,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W092,Garlic,153,63,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W093,Gram,139,74,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W093,Maize,65,60,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W093,Wheat,126,42,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
